bulletin_date,municipality,probable_cases,probable_cases_percent
2020-11-14,Utuado,0,0
2020-11-14,Vega Alta,5,0.8
2020-11-14,Vega Baja,8,1.2
2020-11-14,Vieques,0,0
2020-11-14,Villalba,12,1.9
2020-11-14,Yabucoa,1,0.2
2020-11-14,Yauco,1,0.2
2020-11-14,Otro lugar fuera de PR,1,
2020-11-14,No disponible,34,
2020-11-14,Total,681,
2020-11-15,Adjuntas,0,0.0
2020-11-15,Aguada,1,0.1
2020-11-15,Aguadilla,3,0.4
2020-11-15,Aguas Buenas,4,0.6
2020-11-15,Aibonito,3,0.4
2020-11-15,Añasco,9,1.3
2020-11-15,Arecibo,5,0.7
2020-11-15,Arroyo,1,0.1
2020-11-15,Barceloneta,1,0.1
2020-11-15,Barranquitas,5,0.7
2020-11-15,Bayamón,73,10.5
2020-11-15,Cabo Rojo,9,1.3
2020-11-15,Caguas,64,9.2
2020-11-15,Camuy,1,0.1
2020-11-15,Canóvanas,6,0.9
2020-11-15,Carolina,54,7.8
2020-11-15,Cataño,14,2.0
2020-11-15,Cayey,4,0.6
2020-11-15,Ceiba,0,0.0
2020-11-15,Ciales,1,0.1
2020-11-15,Cidra,2,0.3
2020-11-15,Coamo,11,1.6
2020-11-15,Comerío,0,0.0
2020-11-15,Corozal,1,0.1
2020-11-15,Culebra,0,0.0
2020-11-15,Dorado,5,0.7
2020-11-15,Fajardo,4,0.6
2020-11-15,Florida,1,0.1
2020-11-15,Guánica,0,0.0
2020-11-15,Guayama,5,0.7
2020-11-15,Guayanilla,4,0.6
